Num_Acc,annee,dep,lat,long,lum,atm,col,circ,nbv,prof,surf,infra,situ,vma,catv,mois,jour,target
202000000176,2020,91,48.57555,2.46559,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,110.0,7.0,9.0,21.0,0
202000000176,2020,91,48.57555,2.46559,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,110.0,7.0,9.0,21.0,1
202000000179,2020,94,48.7762722,2.4310036,1.0,1.0,,,2.0,3.0,1.0,0.0,1.0,90.0,7.0,9.0,21.0,1
202000000179,2020,94,48.7762722,2.4310036,1.0,1.0,,,2.0,3.0,1.0,0.0,1.0,90.0,7.0,9.0,21.0,0
202000000190,2020,44,47.26786,-1.57728,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,90.0,7.0,9.0,20.0,1
202000000190,2020,44,47.26786,-1.57728,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,90.0,7.0,9.0,20.0,1
202000000190,2020,44,47.26786,-1.57728,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,90.0,7.0,9.0,20.0,1
202000000190,2020,44,47.26786,-1.57728,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,90.0,7.0,9.0,20.0,1
202000000269,2020,49,47.212609,-0.764129,1.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,3.0,110.0,7.0,9.0,21.0,1
202000000270,2020,69,45.851955,4.668653,3.0,2.0,6.0,1.0,4.0,1.0,2.0,0.0,1.0,110.0,7.0,9.0,20.0,1
202000000270,2020,69,45.851955,4.668653,3.0,2.0,6.0,1.0,4.0,1.0,2.0,0.0,1.0,110.0,7.0,9.0,20.0,1
202000000270,2020,69,45.851955,4.668653,3.0,2.0,6.0,1.0,4.0,1.0,2.0,0.0,1.0,110.0,7.0,9.0,20.0,1
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,0
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,0
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,0
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,1
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,1
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,1
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,1
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,1
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,1
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,1
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,0
202000000298,2020,13,43.2954,5.4243,5.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,50.0,7.0,9.0,19.0,0
202000000299,2020,42,45.49492,4.55475,3.0,8.0,2.0,3.0,4.0,1.0,2.0,0.0,1.0,90.0,7.0,9.0,19.0,0
202000000299,2020,42,45.49492,4.55475,3.0,8.0,2.0,3.0,4.0,1.0,2.0,0.0,1.0,90.0,7.0,9.0,19.0,1
202000000299,2020,42,45.49492,4.55475,3.0,8.0,2.0,3.0,4.0,1.0,2.0,0.0,1.0,90.0,7.0,9.0,19.0,1
202000000374,2020,38,45.15373,5.35769,1.0,1.0,6.0,3.0,2.0,1.0,1.0,0.0,3.0,130.0,7.0,6.0,25.0,1
202000000375,2020,988,-22.172706,166.415989,1.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,1.0,110.0,10.0,6.0,25.0,0
202000000375,2020,988,-22.172706,166.415989,1.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,1.0,110.0,10.0,6.0,25.0,0
202000000375,2020,988,-22.172706,166.415989,1.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,1.0,110.0,10.0,6.0,25.0,1
202000000377,2020,82,43.927015,1.311021,1.0,1.0,6.0,1.0,2.0,1.0,1.0,0.0,2.0,50.0,43.0,6.0,24.0,1
