id,name,set_name,set_release_date,rarity,hp,type,evolves_from,nb_attacks,is_holo,is_reverse,price_tcgplayer_low,price_tcgplayer_mid,price_tcgplayer_high,price_tcgplayer_market,price_cardmarket_low,price_cardmarket_trend,price_cardmarket_avg30,price_cardmarket_avg7,price_cardmarket_avg1,price_cardmarket_avg_sell,price_pricecharting,market_price,high_price,low_price,trend_price,year,rarity_encoded,set_age,price_range,hp_normalized,has_evolution,price_source_count,price_volatility,target
ex7-1,Azumarill,Team Rocket Returns,2004/11/01,Rare Holo,80.0,Water,Marill,1,1,1,44.19,47.7,449.79,31.95,2.98,16.74,13.33,8.35,6.7,3.75,,22.9375,449.79,2.98,16.74,2004,4,20,446.81,0.21052631578947367,1,4,19.479455040871933,0
gym1-1,Blaine's Moltres,Gym Heroes,2000/08/14,Rare Holo,90.0,Fire,,1,1,0,475.0,1237.5,1999.99,182.26,19.89,146.74,117.66,99.27,57.0,91.77,,402.7,1999.99,19.89,146.74,2000,4,24,1980.1,0.23684210526315788,0,4,4.917059846039235,0
base3-1,Aerodactyl,Fossil,1999/10/10,Rare Holo,60.0,Fighting,Mysterious Fossil,1,1,0,73.64,104.0,1248.9,74.57,5.0,39.7,34.02,56.01,17.0,35.38,,67.49,1248.9,5.0,39.7,1999,4,25,1243.9,0.15789473684210525,1,4,18.430878648688697,0
sm9-1,Celebi & Venusaur-GX,Team Up,2019/02/01,Rare Holo GX,270.0,Grass,,3,1,0,38.03,49.26,79.97,42.73,6.99,34.14,31.72,33.08,44.98,33.54,,39.6525,79.97,6.99,34.14,2019,4,5,72.98,0.7105263157894737,0,4,1.8404892503625243,0
xy2-1,Caterpie,Flashfire,2014/05/07,Common,40.0,Grass,,1,0,1,0.05,0.25,19.98,0.22,0.02,0.12,0.48,0.2,0.35,0.37,,0.26,19.98,0.02,0.12,2014,1,10,19.96,0.10526315789473684,0,4,76.76923076923077,0
pop6-1,Bastiodon,POP Series 6,2007/09/01,Rare,130.0,Metal,Shieldon,1,0,0,1.15,5.18,58.38,3.01,0.98,1.22,1.29,1.17,1.0,1.5,,2.715,58.38,0.98,1.22,2007,3,17,57.400000000000006,0.34210526315789475,1,4,21.14180478821363,0
ecard2-H2,Arcanine,Aquapolis,2003/01/15,Rare Holo,90.0,Fire,Growlithe,1,1,0,,,,,34.9,189.96,200.97,141.26,120.0,168.81,,155.035,168.81,34.9,189.96,2003,4,21,133.91,0.23684210526315788,1,2,0.8637404457058083,1
hgss4-2,Altaria,HS—Triumphant,2010/11/03,Rare Holo,90.0,Colorless,Swablu,2,1,1,11.9,13.73,137.3,8.99,0.89,5.59,5.53,4.97,5.95,4.95,,8.16,137.3,0.89,5.59,2010,4,14,136.41000000000003,0.23684210526315788,1,4,16.716911764705884,0
pl1-2,Blastoise,Platinum,2009/02/11,Rare Holo,130.0,Water,Wartortle,2,1,1,39.22,53.99,550.0,36.42,1.8,6.2,9.31,7.39,3.49,8.72,,26.63,550.0,1.8,6.2,2009,4,15,548.2,0.34210526315789475,1,4,20.585805482538493,0
ex3-2,Altaria,Dragon,2003/11/24,Rare Holo,80.0,Colorless,Swablu,2,1,1,49.99,60.82,584.0,56.91,2.0,15.79,20.31,18.37,19.99,18.1,,38.55,584.0,2.0,15.79,2003,4,21,582.0,0.21052631578947367,1,4,15.097276264591441,0
dp3-2,Blastoise,Secret Wonders,2007/11/01,Rare Holo,120.0,Water,Wartortle,1,1,1,74.67,200.0,789.78,92.47,1.0,10.35,11.58,6.18,1.49,14.82,,78.3675,789.78,1.0,10.35,2007,4,17,788.78,0.3157894736842105,1,4,10.065141799853254,0
base3-2,Articuno,Fossil,1999/10/10,Rare Holo,70.0,Water,,2,1,0,138.0,206.23,1949.9,208.49,4.0,87.14,52.84,72.46,66.0,51.24,,134.60500000000002,1949.9,4.0,87.14,1999,4,25,1945.9,0.18421052631578946,0,4,14.456372348724043,0
pl3-2,Blaziken FB,Supreme Victors,2009/08/19,Rare Holo,80.0,Fire,,2,1,1,24.43,116.35,299.84,23.27,1.5,4.15,11.72,6.43,8.5,6.71,,38.190000000000005,299.84,1.5,4.15,2009,4,15,298.34,0.21052631578947367,0,4,7.811992668237757,0
ex11-2,Crobat δ,Delta Species,2005/10/31,Rare Holo,90.0,Grass,Golbat,2,1,1,13.0,17.0,39.99,18.28,0.7,4.81,6.79,4.73,2.99,5.35,,11.34,39.99,0.7,4.81,2005,4,19,39.29,0.23684210526315788,1,4,3.464726631393298,0
pop6-2,Lucario,POP Series 6,2007/09/01,Rare,90.0,Fighting,Riolu,2,0,0,23.19,40.0,444.8,31.16,4.0,9.35,6.8,8.4,9.49,8.22,,21.945,444.8,4.0,9.35,2007,3,17,440.8,0.23684210526315788,1,4,20.08658008658009,0
xy2-2,Metapod,Flashfire,2014/05/07,Uncommon,70.0,Grass,Caterpie,1,0,1,0.05,0.25,19.98,0.25,0.02,0.26,0.2,0.24,0.1,0.21,,0.2375,19.98,0.02,0.26,2014,2,10,19.96,0.18421052631578946,1,4,84.04210526315791,0
base4-2,Blastoise,Base Set 2,2000/02/24,Rare Holo,100.0,Water,Wartortle,1,1,0,87.42,143.99,1279.8,119.73,30.0,128.48,89.59,126.88,245.0,108.91,,124.8775,1279.8,30.0,128.48,2000,4,24,1249.8,0.2631578947368421,1,4,10.008208043883005,0
gym1-2,Brock's Rhydon,Gym Heroes,2000/08/14,Rare Holo,80.0,Fighting,Brock's Rhyhorn,1,1,0,80.15,672.08,1264.0,121.79,2.99,20.56,27.1,23.61,34.0,28.05,,211.3825,1264.0,2.99,20.56,2000,4,24,1261.01,0.21052631578947367,1,4,5.965536409116176,0
hgss1-2,Azumarill,HeartGold & SoulSilver,2010/02/10,Rare Holo,90.0,Water,Marill,2,1,1,5.5,8.99,102.9,7.73,0.4,3.9,3.51,4.02,1.0,3.35,,6.0225,102.9,0.4,3.9,2010,4,14,102.5,0.23684210526315788,1,4,17.0195101701951,0
det1-2,Ludicolo,Detective Pikachu,2019/04/05,Rare,140.0,Grass,Lombre,1,1,0,0.45,0.96,18.68,1.19,0.19,1.9,1.67,1.99,0.7,1.75,,1.4725,18.68,0.19,1.9,2019,3,5,18.49,0.3684210526315789,1,4,12.556876061120542,1
sm9-2,Weedle,Team Up,2019/02/01,Common,40.0,Grass,,2,0,1,0.1,0.28,19.98,0.27,0.02,0.1,0.14,0.1,0.1,0.14,,0.1975,19.98,0.02,0.1,2019,1,5,19.96,0.10526315789473684,0,4,101.0632911392405,0
ex12-2,Aggron,Legend Maker,2006/02/01,Rare Holo,110.0,Metal,Lairon,2,1,1,14.99,22.07,279.5,22.75,1.8,9.54,8.79,10.03,19.0,10.61,,16.365,279.5,1.8,9.54,2006,4,18,277.7,0.2894736842105263,1,4,16.969141460433853,0
ex7-2,Dark Ampharos,Team Rocket Returns,2004/11/01,Rare Holo,120.0,Lightning,Dark Flaaffy,2,1,1,79.5,149.98,999.9,86.96,6.95,49.55,30.75,39.79,20.0,30.1,,76.70750000000001,999.9,6.95,49.55,2004,4,20,992.9499999999999,0.3157894736842105,1,4,12.944627318058858,0
ru1-2,Cherrim,Pokémon Rumble,2009/12/02,,80.0,Grass,Cherubi,1,0,0,51.84,89.99,899.9,52.83,25.0,19.82,16.23,24.66,12.99,22.69,,47.5425,899.9,25.0,19.82,2009,3,15,874.9,0.21052631578947367,1,4,18.402481989798602,0
mcd19-2,Alolan Exeggutor,McDonald's Collection 2019,2019/10/15,,160.0,Grass,Exeggcute,1,1,0,2.99,7.0,132.17,7.0,0.15,0.63,1.54,1.0,1.0,1.44,,4.109999999999999,132.17,0.15,0.63,2019,3,5,132.01999999999998,0.42105263157894735,1,4,32.12165450121655,0
xy5-2,Kakuna,Primal Clash,2015/02/04,Uncommon,80.0,Grass,Weedle,1,0,1,0.01,0.22,1.49,0.17,0.04,0.21,0.19,0.18,0.2,0.1,,0.16749999999999998,1.49,0.01,0.21,2015,2,9,1.48,0.21052631578947367,1,4,8.835820895522389,1
xy11-1,Tangela,Steam Siege,2016/08/03,Common,80.0,Grass,,2,0,1,0.01,0.2,19.98,0.18,0.02,0.09,0.09,0.07,0.09,0.1,,0.1375,19.98,0.01,0.09,2016,1,8,19.97,0.21052631578947367,0,4,145.23636363636362,0
ex14-1,Banette,Crystal Guardians,2006/08/01,Rare Holo,70.0,Psychic,Shuppet,1,1,1,6.84,18.5,150.0,8.73,0.9,5.18,5.07,4.07,6.0,4.73,,9.0075,150.0,0.9,5.18,2006,4,18,149.1,0.18421052631578946,1,4,16.552872606161532,0
sm12-1,Venusaur & Snivy-GX,Cosmic Eclipse,2019/11/01,Rare Holo GX,270.0,Grass,,2,1,0,19.09,28.18,191.63,23.04,3.89,19.36,16.94,18.08,26.97,17.43,,21.6825,191.63,3.89,19.36,2019,4,5,187.74,0.7105263157894737,0,4,8.658595641646489,0
bw1-1,Snivy,Black & White,2011/04/25,Common,60.0,Grass,,2,0,1,0.08,0.33,2.22,0.33,0.02,0.99,0.8,1.1,2.95,0.87,,0.6575,2.22,0.02,0.99,2011,1,13,2.2,0.15789473684210525,0,4,3.3460076045627383,1
sm115-1,Caterpie,Hidden Fates,2019/08/23,Common,60.0,Grass,,1,0,1,0.01,0.18,19.7,0.16,0.02,0.07,0.07,0.07,0.11,0.07,,0.12,19.7,0.01,0.07,2019,1,5,19.689999999999998,0.15789473684210525,0,4,164.08333333333331,0
si1-1,Mew,Southern Islands,2001/07/31,,30.0,Psychic,,1,0,1,340.99,597.5,999.99,339.77,69.0,389.45,237.76,265.94,174.98,284.79,,372.0,999.99,69.0,389.45,2001,3,23,930.99,0.07894736842105263,0,4,2.502661290322581,0
dp1-1,Dialga,Diamond & Pearl,2007/05/01,Rare Holo,90.0,Metal,,2,1,1,17.99,46.49,455.2,38.33,0.99,8.41,6.89,11.83,10.0,5.53,,25.544999999999998,455.2,0.99,8.41,2007,4,17,454.21,0.23684210526315788,0,4,17.78077901742024,0
sm3-1,Caterpie,Burning Shadows,2017/08/05,Common,50.0,Grass,,1,0,1,0.02,0.2,19.98,0.11,0.02,0.11,0.09,0.04,0.05,0.11,,0.11499999999999999,19.98,0.02,0.11,2017,1,7,19.96,0.13157894736842105,0,4,173.56521739130437,0
pop7-1,Ampharos,POP Series 7,2008/03/01,Rare,130.0,Lightning,Flaaffy,1,1,0,16.43,32.38,299.0,17.39,1.75,8.87,9.39,6.29,1.89,7.74,,15.950000000000001,299.0,1.75,8.87,2008,3,16,297.25,0.34210526315789475,1,4,18.636363636363637,0
gym2-1,Blaine's Arcanine,Gym Challenge,2000/10/16,Rare Holo,90.0,Fire,Blaine's Growlithe,2,1,0,375.0,375.0,375.0,289.99,19.7,111.73,83.61,105.88,462.81,59.88,,207.6875,375.0,19.7,111.73,2000,4,24,355.3,0.23684210526315788,1,4,1.710743304243154,0
col1-1,Clefable,Call of Legends,2011/02/09,Rare Holo,80.0,Colorless,Clefairy,2,1,1,7.65,13.93,116.5,10.86,0.8,7.1,7.79,5.95,5.0,5.95,,9.1725,116.5,0.8,7.1,2011,4,13,115.7,0.21052631578947367,1,4,12.613791223766695,0
ex9-1,Blaziken,Emerald,2005/05/01,Rare Holo,110.0,Fire,Combusken,2,1,1,39.98,58.64,636.33,58.65,0.09,1.78,8.64,4.87,0.4,4.14,,31.575,636.33,0.09,1.78,2005,4,19,636.24,0.2894736842105263,1,4,20.150118764845608,0
bw10-1,Surskit,Plasma Blast,2013/08/14,Common,50.0,Grass,,1,0,1,0.02,0.24,19.98,0.19,0.02,0.12,0.13,0.16,0.05,0.16,,0.1875,19.98,0.02,0.12,2013,1,11,19.96,0.13157894736842105,0,4,106.45333333333333,0
swsh35-1,Venusaur V,Champion's Path,2020/09/25,Rare Holo V,220.0,Grass,,2,1,0,1.5,2.51,19.99,2.2,1.25,3.43,3.04,3.4,2.25,2.79,,2.725,19.99,1.25,3.43,2020,4,4,18.74,0.5789473684210527,0,4,6.8770642201834855,1
xy7-1,Oddish,Ancient Origins,2015/08/12,Common,50.0,Grass,,1,0,1,0.05,0.25,19.98,0.25,0.02,0.21,0.18,0.22,0.15,0.17,,0.2225,19.98,0.02,0.21,2015,1,9,19.96,0.13157894736842105,0,4,89.70786516853933,0
sm1-1,Caterpie,Sun & Moon,2017/02/03,Common,50.0,Grass,,2,0,1,0.01,0.2,19.98,0.13,0.02,0.08,0.09,0.06,0.05,0.09,,0.12000000000000001,19.98,0.01,0.08,2017,1,7,19.97,0.13157894736842105,0,4,166.41666666666666,0
ex13-1,Armaldo δ,Holon Phantoms,2006/05/01,Rare Holo,110.0,Fighting,Anorith,2,1,1,45.96,99.8,449.9,32.92,1.0,0.02,20.73,8.75,6.0,8.77,,37.56,449.9,1.0,0.02,2006,4,18,448.9,0.2894736842105263,1,4,11.95154419595314,0
dv1-2,Dratini,Dragon Vault,2012/10/05,Rare Holo,40.0,Dragon,,2,1,0,9.99,14.02,137.2,12.91,0.18,6.88,4.05,7.53,5.0,5.98,,10.11,137.2,0.18,6.88,2012,4,12,137.01999999999998,0.10526315789473684,0,4,13.55291790306627,0
ecard2-H3,Ariados,Aquapolis,2003/01/15,Rare Holo,70.0,Grass,Spinarak,1,1,0,,,,,5.99,40.73,29.77,42.0,29.99,38.27,,40.135000000000005,38.27,5.99,40.73,2003,4,21,32.28,0.18421052631578946,1,2,0.804285536314937,0
sm12-2,Oddish,Cosmic Eclipse,2019/11/01,Common,60.0,Grass,,1,0,1,0.01,0.24,19.98,0.16,0.02,0.17,0.11,0.17,0.13,0.13,,0.17500000000000002,19.98,0.01,0.17,2019,1,5,19.97,0.15789473684210525,0,4,114.1142857142857,0
ex9-2,Deoxys,Emerald,2005/05/01,Rare Holo,70.0,Psychic,,1,1,1,70.32,126.76,1009.9,78.73,4.95,16.16,13.92,14.33,4.99,14.71,,58.63250000000001,1009.9,4.95,16.16,2005,4,19,1004.9499999999999,0.18421052631578946,0,4,17.139811537969553,0
bw1-2,Snivy,Black & White,2011/04/25,Common,60.0,Grass,,1,0,1,0.18,0.39,19.18,0.42,0.02,0.19,0.17,0.18,0.15,0.19,,0.295,19.18,0.02,0.19,2011,1,13,19.16,0.15789473684210525,0,4,64.94915254237289,0
base4-3,Chansey,Base Set 2,2000/02/24,Rare Holo,120.0,Colorless,,2,1,0,12.1,18.29,189.65,21.26,4.0,14.21,14.46,12.41,9.66,13.39,,16.3375,189.65,4.0,14.21,2000,4,24,185.65,0.3157894736842105,0,4,11.36342769701607,0
ru1-3,Ninetales,Pokémon Rumble,2009/12/02,,90.0,Fire,Vulpix,1,0,0,369.63,375.02,1750.0,249.99,70.0,76.96,46.01,92.29,42.99,99.76,,204.265,1750.0,70.0,76.96,2009,3,15,1680.0,0.23684210526315788,1,4,8.224610187746311,0
xy5-3,Beedrill,Primal Clash,2015/02/04,Rare,120.0,Grass,Kakuna,2,0,1,0.1,0.39,1.65,0.36,0.05,0.79,0.72,0.8,0.4,0.78,,0.5825,1.65,0.05,0.79,2015,3,9,1.5999999999999999,0.3157894736842105,1,4,2.746781115879828,1
pop6-3,Manaphy,POP Series 6,2007/09/01,Rare,70.0,Water,,2,1,0,4.26,4.75,17.0,8.37,0.79,1.29,2.3,1.77,3.0,1.93,,4.205,17.0,0.79,1.29,2007,3,17,16.21,0.18421052631578946,0,4,3.854934601664685,0
si1-2,Pidgeot,Southern Islands,2001/07/31,,70.0,Colorless,Pidgeotto,2,0,0,43.0,52.48,419.9,37.71,13.0,24.78,21.51,25.37,26.2,24.35,,34.9775,419.9,13.0,24.78,2001,3,23,406.9,0.18421052631578946,1,4,11.633192766778643,0
ex11-3,Dragonite δ,Delta Species,2005/10/31,Rare Holo,100.0,Lightning,Dragonair,2,1,0,199.95,399.99,441.99,207.79,10.0,69.85,74.15,47.99,49.99,75.99,,182.94,441.99,10.0,69.85,2005,4,19,431.99,0.2631578947368421,1,4,2.361375314310703,0
pl3-3,Drifblim FB,Supreme Victors,2009/08/19,Rare Holo,80.0,Psychic,,1,1,1,3.0,7.99,79.0,7.24,1.0,8.2,6.76,5.15,1.99,5.36,,6.4350000000000005,79.0,1.0,8.2,2009,4,15,78.0,0.21052631578947367,0,4,12.121212121212121,1
base3-3,Ditto,Fossil,1999/10/10,Rare Holo,50.0,Colorless,,0,1,0,99.99,119.99,9999.0,108.5,8.0,38.62,34.15,34.9,35.66,41.56,,76.2375,9999.0,8.0,38.62,1999,4,25,9991.0,0.13157894736842105,0,4,131.05099196589606,0
hgss1-3,Clefable,HeartGold & SoulSilver,2010/02/10,Rare Holo,80.0,Colorless,Clefairy,2,1,1,4.68,8.14,69.8,8.19,0.44,4.64,3.12,4.86,5.95,2.54,,5.932499999999999,69.8,0.44,4.64,2010,4,14,69.36,0.21052631578947367,1,4,11.691529709228826,0
ex13-2,Cradily δ,Holon Phantoms,2006/05/01,Rare Holo,100.0,Darkness,Lileep,2,1,1,10.25,34.98,299.94,23.74,2.99,6.57,6.02,5.96,4.87,6.83,,17.877499999999998,299.94,2.99,6.57,2006,4,18,296.95,0.2631578947368421,1,4,16.610264298699484,0
hgss4-3,Celebi,HS—Triumphant,2010/11/03,Rare Holo,70.0,Psychic,,2,1,1,16.34,25.45,223.0,17.16,0.89,0.02,5.7,4.04,0.5,4.26,,12.7275,223.0,0.89,0.02,2010,4,14,222.11,0.18421052631578946,0,4,17.451188371636224,0
xy7-2,Gloom,Ancient Origins,2015/08/12,Uncommon,80.0,Grass,Oddish,1,0,1,0.04,0.25,19.98,0.25,0.02,0.19,0.15,0.21,0.09,0.15,,0.215,19.98,0.02,0.19,2015,2,9,19.96,0.21052631578947367,1,4,92.83720930232559,0
bw10-2,Masquerain,Plasma Blast,2013/08/14,Rare,80.0,Grass,Surskit,1,0,1,0.25,0.53,19.76,0.53,0.05,0.72,0.62,0.52,0.85,0.4,,0.495,19.76,0.05,0.72,2013,3,11,19.71,0.21052631578947367,1,4,39.81818181818182,1
ex7-3,Dark Crobat,Team Rocket Returns,2004/11/01,Rare Holo,90.0,Grass,Dark Golbat,2,1,1,25.99,134.99,1199.94,29.11,6.5,17.34,18.18,15.92,13.5,12.99,,48.252500000000005,1199.94,6.5,17.34,2004,4,20,1193.44,0.23684210526315788,1,4,24.733226257706853,0
ex12-3,Cradily,Legend Maker,2006/02/01,Rare Holo,100.0,Grass,Lileep,3,1,1,10.75,22.33,107.94,9.24,0.99,4.94,4.44,4.71,4.97,4.49,,10.1925,107.94,0.99,4.94,2006,4,18,106.95,0.2631578947368421,1,4,10.493009565857248,0
swsh35-2,Weedle,Champion's Path,2020/09/25,Common,60.0,Grass,,1,0,1,0.05,0.25,2.0,0.27,0.02,0.11,0.08,0.1,0.08,0.07,,0.17250000000000001,2.0,0.02,0.11,2020,1,4,1.98,0.15789473684210525,0,4,11.478260869565217,0
gym2-2,Blaine's Charizard,Gym Challenge,2000/10/16,Rare Holo,100.0,Fire,Blaine's Charmeleon,2,1,0,1499.99,1820.0,2140.0,894.61,70.0,423.9,638.35,449.07,138.98,484.1,,911.945,2140.0,70.0,423.9,2000,4,24,2070.0,0.2631578947368421,1,4,2.269873731420206,0
xy2-3,Butterfree,Flashfire,2014/05/07,Rare,130.0,Grass,Metapod,2,0,1,0.4,0.68,19.98,0.68,0.28,1.33,0.88,1.37,1.48,1.14,,0.9675,19.98,0.28,1.33,2014,3,10,19.7,0.34210526315789475,1,4,20.361757105943152,1
