model_key,model_name,model_path,accuracy,f1,precision,recall
random_forest,Random Forest,C:\Users\pablo\Documents\ml-poc-project\models\random_forest.joblib,0.5760352041552446,0.5749481542836318,0.5790048427805642,0.5760352041552446
xgboost,XGBoost,C:\Users\pablo\Documents\ml-poc-project\models\xgboost.joblib,0.5554754003751262,0.5539934157248931,0.5585524413541636,0.5554754003751262
kmeans,KMeans,C:\Users\pablo\Documents\ml-poc-project\models\kmeans.joblib,0.45318135911123936,0.45942541377508495,0.48874236786247643,0.45318135911123936
